                  Name                             Nickname           OFX Home
First Federal S&L of Lorain             fflorain                      1086    
First Financial Bank                    firstfinancial                1088    
First Illinois CU                       firstillinois                 1089    
First Internet Bank of Indiana          firstib                       642     
First National Bank & Trust             fnb-trust                     1092    
First National Bank Chisholm            fnb-chisholm                  1094    
The First National Bank of Long         fnbli                         1100    
First National Bank of Moose Lake       firstmooselake                1099    
The First National Bank of Odon         fnbodon                       1435    
First National Bank of Pasco            fnb-pasco                     1096    
First Natl Bank-Ames Natl Corp          fnb-ames                      1093    
First Piedmont                          firstpiedmont                 1102    
First Republic Bank                     firstrepublic                 770     
First State Bank - Lynnville            fsb-lynnville                 1104    
First State Bank Buxton                 fsb-buxton                    1105    
First State Bank Warner                 fsb-warner                    1108    
First Tennessee                         firsttn                       795     
First Trust Bank of Illinois            firsttrust-il                 1109    
FirstBank of Colorado                   firstbank-co                  554     
Flint Creek Valley Bank                 granitemt                     1139    
Florida Central Credit Union            flcentral                     1116    
Florida Gulf Bank                       flgulf                        1113    
Florida West Coast CU                   fwccu                         1115    
FNB Bank NA                             fnb                           1117    
Fort Sill Federal Credit Union          fsfcu                         1119    
Fortress                                fortress                      1106    
Freedom Bank of America                 freedom                       1121    
Freedom Community Credit Union          freedomccu                    1122    
FSU Credit Union                        fsucu                         1114    
Ft Worth Community Credit Union         ftwccu                        1120    
Fulda Area CUFulda, MN                  fuldaarea                     1124    
Fulton Bank                             fulton                        1125    
Fulton Bank ofJersey                    fultonnj                      1126    
Georgia Bank and Trust                  georgia                       1127    
Georgia Commerce Bank                   gacommerce                    1128    
Georgia Primary Bank                    gaprimary                     1129    
German American - Direct                germanamerican                1130    
German American Business Online         germanamerican-biz            1131    
Girard National Bank                    girard                        1133    
Golden Plains CU                        goldenplains                  1135    
Golden Valley Bank Retail               goldenvalley                  1136    
The Golden1 Credit Union                golden1                       778     
The Goose River Bank                    gooseriver                    1436    
Grand Bank - NJ                         grandbank                     1137    
Granite Community Bank                  granite                       1138    
Greater Cincinnati Credit Union         gccu                          1140    
Greater Texas FCU                       greatertx                     1141    
GreenChoice Bank                        greenchoice                   1142    
Greeneville Federal Bank                greeneville                   1143    
Greylock Federal Credit Union           greylock                      1145    
Guilford Savings Bank                   guilford                      1437    
Gulf Coast Educators FCU TX             gcefcu                        1148    
